Variable,IV
Tenure,0.29820590168677763
Age,0.26997571680545596
VolumeDeb,0.15464194992449432
VolumeDeb_CA,0.13416114358543504
Avg_CA_bal,0.08222289251290014
VolumeDeb_PaymentOrder,0.0818083093381372
ActBal_CA,0.08164629255606984
TransactionsDebCashless_Card,0.07106500489168974
TransactionsDebCash_Card,0.06922514377128305
VolumeDebCashless_Card,0.0676921372540859
utilization_CA,0.06282550168712765
VolumeDebCash_Card,0.06042788986719691
TransactionsDeb,0.04811012381543548
TransactionsDeb_CA,0.04786187187114529
VolumeCred_CA,0.04727947908677481
ActBal_SA,0.04519952221663032
VolumeCred,0.04321694890160933
Avg_MF_bal,0.03491332095887068
TransactionsCred_CA,0.03437924941389845
TransactionsCred,0.033856403012091654
Count_MF,0.03204066577710344
Avg_SA_bal,0.027456429905925235
ActBal_CC,0.024734076922853947
TransactionsDeb_PaymentOrder,0.022687504426574485
ActBal_MF,0.017351123145398262
Count_CA,0.014642984876695768
ActBal_CL,0.00898817934784652
Count_OVD,0.004411284483296503
ActBal_OVD,0.00420010546284885
Count_CL,0.0025962288203057633
Sex,0.0015655781597907871
Count_CC,5.558703321920696e-05
Count_SA,4.253642132058224e-05
